,id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media
0,54483718039,65535,7d5b777c88,"Il Bacaro 1813, Venice, Italy",bill italy sms908b samsung venice receipt s22 s22ultra venice2025 wide 20250405143241,22,Bill: 22 Euros,2025-04-05 14:32:41,45.432478,12.354930,https://live.staticflickr.com/65535/54483718039_7d5b777c88_m.jpg,wildhareuk,137918669@N08,photo
1,54450192070,65535,aa2fe05c55,"Caffe Brasilia, Venice, Italy",bill italy restaurant sms908b samsung venice caffebrasilia receipt s22 s22ultra venice2025 wide 20250405102341,17,Bill: 17 Euros,2025-04-05 10:23:42,45.434667,12.333011,https://live.staticflickr.com/65535/54450192070_aa2fe05c55_m.jpg,wildhareuk,137918669@N08,photo
2,54445918409,65535,568d825f68,"6342 Alla Corte Ristorante, Venice, Italy",6342allacorteristorante bill italy restaurant sms908b samsung venice receipt s22 s22ultra venice2025 wide 20250401201829,21,Bill: 87.50 Euros,2025-04-01 20:18:30,45.438781,12.342452,https://live.staticflickr.com/65535/54445918409_568d825f68_m.jpg,wildhareuk,137918669@N08,photo
3,52633606369,65535,1b23a03ae3,Venice 2022 – Alleanza Verdi Sinistra,elections verkiezingen elezionipolitiche poster bill italia venice venedig veneto venezia italië italy venetië elezionipolitiche2022,204,"This isn't a poster for a sinister alliance, but for the Green-Left Alliance, sinistra being the Italian word for left. The Alliance got 3.6% of the vote and 12 seats of the 400-seat parliament.  The More Europe party of Emma Bonino got 2.8% of the vote and 2 seats in parliament.  The Democratic Party got 19.1% of the vote and 69 seats.  These parties are all part of the Centre-Left Coalition.",2022-09-20 18:11:08,45.442672,12.328524,https://live.staticflickr.com/65535/52633606369_1b23a03ae3_m.jpg,Michiel2005,39839593@N00,photo
4,16804737449,7608,6a4427d392,Venice - Grande Canal,sky berlin andy beer beautiful architecture dave germany landscape deutschland bavaria photography michael bill amazing nice nikon kitten nirvana library nick bibliothek banksy sigma images andreas best tokina professional business most excellent buy getty architektur brandt worst manual nikkor gregory sell better nofx hdr impressive andi henri cartierbresson colbert absolute gettyimages kenna highest kant sebastiao salgado gursky grohl d300 badenwürttemberg absolutearchitecture junip d90 mccurry mezger superlativ images“ manualkant „steve andreasmezger „getty,8732,"My pictures at  <a href=""http://www.gettyimages.de/Search/Search.aspx?assettype=image&amp;family=creative&amp;artist=Andi+Mezger"" rel=""nofollow""><b>GettyImages</b></a> and <a href=""http://www.seenby.de/andi-mezger"" rel=""nofollow""><b>SeenBy</b></a>  © <a href=""//www.flickr.com/people/andimezger//"" rel=""nofollow""><b>Andreas Mezger</b></a>  <b>Nikon D300 with Nikkor  50mm/1.4G: 50mm - ISO200 - 1/1600 - f5</b>",2014-08-27 17:00:39,45.437719,12.334843,https://live.staticflickr.com/7608/16804737449_6a4427d392_m.jpg,Andreas Mezger - Photography,92909698@N06,photo
5,16804819070,7632,2c3e813802,The blue dress (Venice),sky berlin andy beer beautiful architecture dave germany landscape deutschland bavaria photography michael bill amazing nice nikon kitten nirvana library nick bibliothek banksy sigma images andreas best tokina professional business most excellent buy getty architektur brandt worst manual nikkor gregory sell better nofx hdr impressive andi henri cartierbresson colbert absolute gettyimages kenna highest kant sebastiao salgado gursky grohl d300 badenwürttemberg absolutearchitecture junip d90 mccurry mezger superlativ images“ manualkant „steve andreasmezger „getty,10479,"My pictures at  <a href=""http://www.gettyimages.de/Search/Search.aspx?assettype=image&amp;family=creative&amp;artist=Andi+Mezger"" rel=""nofollow""><b>GettyImages</b></a> and <a href=""http://www.seenby.de/andi-mezger"" rel=""nofollow""><b>SeenBy</b></a>  © <a href=""//www.flickr.com/people/andimezger//"" rel=""nofollow""><b>Andreas Mezger</b></a>  <b>Nikon D300 with Nikkor  50mm/1.4G: 50mm - ISO200 - 1/125 - f8</b>",2014-08-27 15:09:35,45.432674,12.353318,https://live.staticflickr.com/7632/16804819070_2c3e813802_m.jpg,Andreas Mezger - Photography,92909698@N06,photo
6,16810856690,7617,bd7c6732e6,A typical day in Venice,sky berlin andy beer beautiful architecture dave germany landscape deutschland bavaria photography michael bill amazing nice nikon kitten nirvana library nick bibliothek banksy sigma images andreas best tokina professional business most excellent buy getty architektur brandt worst manual nikkor gregory sell better nofx hdr impressive andi henri cartierbresson colbert absolute gettyimages kenna highest kant sebastiao salgado gursky grohl d300 badenwürttemberg absolutearchitecture junip d90 mccurry mezger superlativ images“ manualkant „steve andreasmezger „getty,7494,"My pictures at  <a href=""http://www.gettyimages.de/Search/Search.aspx?assettype=image&amp;family=creative&amp;artist=Andi+Mezger"" rel=""nofollow""><b>GettyImages</b></a> and <a href=""http://www.seenby.de/andi-mezger"" rel=""nofollow""><b>SeenBy</b></a>  © <a href=""//www.flickr.com/people/andimezger//"" rel=""nofollow""><b>Andi Mezger</b></a>  <b>Nikon D300 with Nikkor  50mm/1.4G: 50mm - ISO200 - 1/8000 - f2.5</b>",2014-08-27 13:35:53,45.433908,12.343737,https://live.staticflickr.com/7617/16810856690_bd7c6732e6_m.jpg,Andreas Mezger - Photography,92909698@N06,photo
7,16989225562,7644,a4cb302b0a,Venice - Grande Canal (B/W),sky berlin andy beer beautiful architecture dave germany landscape deutschland bavaria photography michael bill amazing nice nikon kitten nirvana library nick bibliothek banksy sigma images andreas best tokina professional business most excellent buy getty architektur brandt worst manual nikkor gregory sell better nofx hdr impressive andi henri cartierbresson colbert absolute gettyimages kenna highest kant sebastiao salgado gursky grohl d300 badenwürttemberg absolutearchitecture junip d90 mccurry mezger superlativ images“ manualkant „steve andreasmezger „getty,6066,"My pictures at  <a href=""http://www.gettyimages.de/Search/Search.aspx?assettype=image&amp;family=creative&amp;artist=Andi+Mezger"" rel=""nofollow""><b>GettyImages</b></a> and <a href=""http://www.seenby.de/andi-mezger"" rel=""nofollow""><b>SeenBy</b></a>  © <a href=""//www.flickr.com/people/andimezger//"" rel=""nofollow""><b>Andi Mezger</b></a>  <b>Nikon D300 with Nikkor  50mm/1.4G: 50mm - ISO200 - 1/1600 - f5</b>",2014-08-27 17:00:39,45.437719,12.334843,https://live.staticflickr.com/7644/16989225562_a4cb302b0a_m.jpg,Andreas Mezger - Photography,92909698@N06,photo
8,9807504785,5540,4c81d2fa9c,Front Door Out Back,door new out bill back arte front zealand pavilion biennale venezia culbert,415,Bill Culbert,2013-09-18 12:18:56,45.434524,12.345166,https://live.staticflickr.com/5540/9807504785_4c81d2fa9c_m.jpg,: : F R A N C O : :,57242015@N04,photo
9,4498848023,4007,e71485fd9f,Carnaval de Venise 2010,venice veneza bill sara carnaval venecia gery 2010 威尼斯 venetië venecija venetsia veneetsia carnavalvénitien carnavaldevenise венеция ヴェネツィア البندقية βενετία veneţia венеція वेनेज़िया carnevaledivenezia2010 carnavaldevenise2010 venetianscarnival2010 венециякарнавал2010 karnevalvonvenedig2010 karnevaluveneciji2010 gerybill,176,,2010-02-14 15:50:05,45.434712,12.339062,https://live.staticflickr.com/4007/4498848023_e71485fd9f_m.jpg,Cl. B.,44655616@N04,photo
