id,server,secret,title,tags,views,description,date_taken,latitude,longitude,url_s,owner_name,owner,media,geometry
52562008887,65535,0ee616eeee,Mercato di Rialto,venice market rialto stall price numbers,1565,Campo della Pescaria,2022-06-21 11:22:08,45.439827,12.334150,https://live.staticflickr.com/65535/52562008887_0ee616eeee_m.jpg,FotoFling Scotland,11451860@N08,photo,POINT (12.33415 45.439827)
52181207713,65535,e054b2427a,Rialto Market,italy rialtomarket venice numbers price,1122,,2022-06-24 10:52:04,45.439766,12.334280,https://live.staticflickr.com/65535/52181207713_e054b2427a_m.jpg,FotoFling Scotland,11451860@N08,photo,POINT (12.33428 45.439766)
52562008887,65535,0ee616eeee,Mercato di Rialto,venice market rialto stall price numbers,1565,Campo della Pescaria,2022-06-21 11:22:08,45.439827,12.334150,https://live.staticflickr.com/65535/52562008887_0ee616eeee_m.jpg,FotoFling Scotland,11451860@N08,photo,POINT (12.33415 45.439827)
52181207713,65535,e054b2427a,Rialto Market,italy rialtomarket venice numbers price,1122,,2022-06-24 10:52:04,45.439766,12.334280,https://live.staticflickr.com/65535/52181207713_e054b2427a_m.jpg,FotoFling Scotland,11451860@N08,photo,POINT (12.33428 45.439766)
52179104320,65535,49dae52a8a,Rialto Market,rialtomarket venice italy fish seafood price numbers,1039,,2022-06-21 10:50:45,45.439736,12.334138,https://live.staticflickr.com/65535/52179104320_49dae52a8a_m.jpg,FotoFling Scotland,11451860@N08,photo,POINT (12.334138 45.439736)
52171688540,65535,e0732ebf4a,Asparagus In the Market,rialtomarket venice italy asparagus number price,888,"Rialto Market, Venice",2022-06-24 10:52:30,45.439772,12.334297,https://live.staticflickr.com/65535/52171688540_e0732ebf4a_m.jpg,FotoFling Scotland,11451860@N08,photo,POINT (12.334297 45.439772)
52164508753,65535,6548c1f2ab,Vegetables in the Rialto Market,italy rialtomarket vegetables venice price numbers,1127,,2022-06-21 11:42:36,45.439188,12.334927,https://live.staticflickr.com/65535/52164508753_6548c1f2ab_m.jpg,FotoFling Scotland,11451860@N08,photo,POINT (12.334927 45.439188)
23565590179,5725,02108340d8,"""THERE'S A HIGH PRICE TO PAY FOR SHOWING OFF""",carnival venice italy price costume italia mask parade prix carnaval venise venezia italie masque,1545,"Parader, ça se paie...  Carnevale di Venezia",2015-12-23 23:05:45,45.433936,12.337260,https://live.staticflickr.com/5725/23565590179_02108340d8_m.jpg,régisa,70322581@N06,photo,POINT (12.33726 45.433936)
7991714881,8170,5f2877d97b,Rialto Fish Market,venice bw italy white fish black sign price del canon eos photo italia foto market e 7d venezia mercato bianco nero rialto prices targa pesce pescheria prezzo prezzi,761,"Rialto Fish Market, Venezia, Italy",2012-04-30 17:27:56,45.438935,12.335200,https://live.staticflickr.com/8170/7991714881_5f2877d97b_m.jpg,Andrea Vigoni,64615466@N02,photo,POINT (12.3352 45.438935)
7685084888,8005,b0275da5d3,"Shop window, Venice - the wonders of the bakery",venice italy food art cakes window shop price shopping bread cafe italian colours sale euro chocolate decoration nuts culture bakery sweets labels biscuits pan temptation venezia purchase shopfront confection ventian sanpolo,648,Even the photo makes my stomach rumble!,2012-05-01 13:34:53,45.436872,12.328784,https://live.staticflickr.com/8005/7685084888_b0275da5d3_m.jpg,gowersaint,29259083@N05,photo,POINT (12.328784 45.436872)
7398328822,8154,8732b52287,how much?,city travel italien venice urban italy price canon canal italian europe italia ride lagoon tourist tourists romantic gondola venezia venedig veneto gondoliere eos550,1222,"Agreeing on the price of a gondola ride...Venice, Italy",2012-06-09 17:27:59,45.436933,12.337517,https://live.staticflickr.com/8154/7398328822_8732b52287_m.jpg,marin.tomic,25767209@N02,photo,POINT (12.337517 45.436933)
5267599630,5285,b369df05df,Venice Hotel Canal,venice sea italy 3 price star hotel canal nice europa europe european place good union lagoon canals deal venetian venezia economy stay adriatic veneto recommended venesia vèneto,183,,2010-11-26 05:10:44,45.439358,12.320919,https://live.staticflickr.com/5285/5267599630_b369df05df_m.jpg,A.Currell,23748404@N00,photo,POINT (12.320919 45.439358)
5267595758,5241,e0f63a711e,Venice Hotel Canal,venice sea italy 3 price star hotel canal nice europa europe european place good union lagoon canals deal venetian venezia economy stay adriatic veneto recommended venesia vèneto,176,,2010-11-25 20:11:47,45.439358,12.320919,https://live.staticflickr.com/5241/5267595758_e0f63a711e_m.jpg,A.Currell,23748404@N00,photo,POINT (12.320919 45.439358)
5266989171,5081,811c66a90f,Venice Hotel Canal,venice sea italy 3 price star hotel canal nice europa europe european place good union lagoon canals deal venetian venezia economy stay adriatic veneto recommended venesia vèneto,166,,2010-11-25 20:11:18,45.439358,12.320919,https://live.staticflickr.com/5081/5266989171_811c66a90f_m.jpg,A.Currell,23748404@N00,photo,POINT (12.320919 45.439358)
5267595758,5241,e0f63a711e,Venice Hotel Canal,venice sea italy 3 price star hotel canal nice europa europe european place good union lagoon canals deal venetian venezia economy stay adriatic veneto recommended venesia vèneto,176,,2010-11-25 20:11:47,45.439358,12.320919,https://live.staticflickr.com/5241/5267595758_e0f63a711e_m.jpg,A.Currell,23748404@N00,photo,POINT (12.320919 45.439358)
